SYMBOL,HIGH,LOW,DAILY RANGE
PFC,1071.4,1070,1.4000244
PFC,1105.15,1105.15,0.0
PFC,1316.5,1314.99,1.5100098
PFIZER,4395,4286,109.0
PFOCUS,43.25,41.7,1.5499992
PFS,15.95,15.05,0.8999996
PGEL,77.6,74.8,2.7999954
PGHH,11250.5,10980,270.5
PGHL,4455,4388,67.0
PGIL,154,150.1,3.899994
PHILIPCARB,139.45,134.5,4.949997
PHOENIXLTD,862.5,828.5,34.0
PIDILITIND,1509.9,1466.2,43.700073
PIIND,1587.9,1522.05,65.849976
PILANIINVS,1790,1770.85,19.150024
PILITA,6.2,6,0.19999981
PIONDIST,136.9,126.55,10.349991
PIONEEREMB,31.95,30.6,1.3500004
PITTIENG,45.2,44,1.2000008
PKTEA,137.5,126.5,11.0
PLASTIBLEN,202.95,196.4,6.550003
PNB,61.5,60.8,0.70000076
PNBGILTS,28.35,28.1,0.25
PNBHOUSING,457.9,445,12.899994
PNC,16.6,16,0.6000004
PNCINFRA,205.35,193.25,12.100006
PODDARHOUS,299,291,8.0
PODDARMENT,196.6,185.1,11.5
POKARNA,115,108.15,6.8499985
POLYCAB,1010,981,29.0
POLYMED,312.3,257.3,55.0
POLYPLEX,582.95,567.55,15.400024
PONNIERODE,165,158.3,6.699997
POWERGRID,193.8,189.25,4.550003
POWERMECH,760,729.95,30.049988
PPAP,204.8,196,8.800003
PPL,64.9,62.5,2.4000015
PRABHAT,85.7,84.05,1.6499939
PRADIP,0.55,0.5,0.050000012
PRAENG,6.65,6.35,0.3000002
PRAJIND,116.45,114.15,2.2999954
PRAKASH,51.65,48.3,3.3500023
PRAKASHSTL,0.25,0.25,0.0
PRECAM,40.5,40,0.5
PRECOT,27.95,24.7,3.25
PRECWIRE,171,164.1,6.899994
PREMEXPLN,147.9,143,4.899994
PREMIER,2.2,2.1,0.10000014
PREMIERPOL,24.75,22.3,2.4500008
PRESSMN,27.55,26.4,1.1499996
PRESTIGE,388.75,375,13.75
PRICOLLTD,59.7,56.5,3.2000008
PRIMESECU,42.3,41.25,1.0499992
PRINCEPIPE,183.6,176.5,7.100006
PRITI,97,85,12.0
PROSEED,0.3,0.25,0.050000012
PROZONINTU,19.55,19,0.54999924
PRSMJOHNSN,72.4,70.65,1.75
PSB,19.9,19.55,0.35000038
PSL,0.5,0.45,0.050000012
PSPPROJECT,545,524,21.0
PSUBNKBEES,26.42,26.08,0.34000015
PTC,60.7,59.55,1.1500015
PTL,37.75,37.05,0.70000076
PUNJABCHEM,543.95,510,33.950012
PUNJLLOYD,1.15,1.05,0.100000024
PURVA,71.4,68.65,2.75
PUSHPREALM,5.9,5.9,0.0
PVR,1965,1934,31.0
QGOLDHALF,1767,1759,8.0
QNIFTY,1247,1247,0.0
QUESS,632,595,37.0
QUICKHEAL,133.2,130.4,2.800003
RADAAN,1.05,1.05,0.0
RADICO,399.1,382.8,16.300018
RADIOCITY,27.5,26.45,1.0499992
RAIN,117.8,114.1,3.7000046
RAJESHEXPO,729.95,715.75,14.200012
RAJRAYON,0.1,0.05,0.05
RAJSREESUG,22.45,20.5,1.9500008
RAJTV,46,41.9,4.0999985
RAJVIR,10.9,10.9,0.0
RALLIS,246.6,226.6,20.0
RAMANEWS,15.9,14.7,1.1999998
RAMASTEEL,54,49.5,4.5
RAMCOCEM,859.5,801.15,58.349976
RAMCOIND,208.75,197,11.75
RAMCOSYS,200.25,186.8,13.449997
RAMKY,34.8,31.65,3.1499996
RAMSARUP,0.4,0.4,0.0
RANASUG,6.05,5.55,0.5
RANEENGINE,261.35,237.1,24.25
RANEHOLDIN,819.05,775,44.049988
RATNAMANI,1232,1203.85,28.150024
RAYMOND,665.85,652.55,13.299988
RBL,626.9,596,30.900024
RBLBANK,343.75,334.2,9.549988
RCF,57.45,56.05,1.4000015
RCOM,0.85,0.75,0.100000024
RECLTD,147.9,144.95,2.949997
RECLTD,1110,1105.01,4.98999
RECLTD,1205.1,1203.5,1.5999756
RECLTD,1299,1299,0.0
RECLTD,1235.01,1235.01,0.0
REDINGTON,119.8,115.65,4.1500015
REFEX,54,52.55,1.4500008
REGENCERAM,1.3,1.3,0.0
RELAXO,724.7,714,10.700012
RELCAPITAL,9.55,8.85,0.6999998
RELIANCE,1494.4,1464.05,30.349976
RELIGARE,43.6,41,2.5999985
RELINFRA,22.95,22,0.95000076
RENUKA,8.15,7.75,0.39999962
REPCOHOME,343.05,328.8,14.25
REPL,39.9,37.9,2.0
REPRO,664.9,650,14.900024
RESPONIND,92.5,90.5,2.0
REVATHI,504.95,462.45,42.5
RGL,408,380,28.0
RHFL,1.6,1.6,0.0
RHFL,269,238.01,30.990005
RHFL,239.95,230,9.949997
RICOAUTO,46.3,45.3,1.0
RIIL,424.8,405.8,19.0
RITES,331,317.05,13.950012
RKDL,5.45,5.15,0.2999997
RKEC,60.5,58.5,2.0
RKFORGE,379.85,366,13.850006
RMCL,7.45,6.9,0.5499997
RMDRIP,28.15,28,0.14999962
RML,294.6,285,9.600006
RNAVAL,2.35,2.35,0.0
ROHITFERRO,0.5,0.45,0.050000012
ROHLTD,77.9,74.05,3.8499985
ROLLT,1.65,1.6,0.049999952
ROLTA,4.2,4,0.19999981
ROSSELLIND,76.3,72.2,4.100006
RPGLIFE,334.95,326,8.950012
RPOWER,1.85,1.85,0.0
RPPINFRA,67.6,66,1.5999985
RPPL,95.5,95.5,0.0
RSSOFTWARE,24.5,23,1.5
RSWM,102,97.6,4.4000015
RSYSTEMS,70.95,69.05,1.8999939
RTNINFRA,2.4,2.3,0.10000014
RTNPOWER,1.85,1.8,0.05000007
RUBYMILLS,220,214,6.0
RUCHI,18.7,18.7,0.0
RUCHINFRA,2.8,2.8,0.0
RUCHIRA,83,79.2,3.800003
RUPA,227.4,220,7.399994
RUSHIL,149,144.1,4.899994
RVNL,29.2,27.25,1.9500008
SABTN,1.35,1.25,0.100000024
SADBHAV,130.25,126.35,3.9000015
SADBHIN,41.6,40.6,1.0
SAFARI,630,622,8.0
SAGARDEEP,76,70.2,5.800003
SAGCEM,561,536.1,24.900024
SAIL,48.45,47.45,1.0
SAKAR,65.3,61.1,4.2000046
SAKHTISUG,10,9.65,0.35000038
SAKSOFT,228.95,226,2.949997
SAKUMA,6.4,6.1,0.3000002
SALASAR,111.55,107,4.550003
SALONA,66.7,62.6,4.0999985
SALSTEEL,3.4,3.15,0.25
SALZERELEC,123.7,116,7.699997
SAMBHAAV,2.85,2.7,0.14999986
SANCO,14.3,12.8,1.5
SANDESH,649,632,17.0
SANDHAR,284.9,273.05,11.850006
SANGAMIND,61.45,58,3.4500008
SANGHIIND,41,40.05,0.95000076
SANGHVIFOR,19.25,18.15,1.1000004
SANGHVIMOV,96.8,93,3.800003
SANGINITA,179,177,2.0
SANOFI,6760,6703,57.0
SANWARIA,1.7,1.6,0.100000024
SARDAEN,242.95,225,17.949997
SAREGAMA,427.25,420,7.25
SARLAPOLY,25.8,24.6,1.1999989
SARVESHWAR,15.75,15.75,0.0
SASKEN,614.95,585,29.950012
SASTASUNDR,75.95,70.2,5.75
SATIA,108.7,96.8,11.899994
SATIN,240.9,237,3.899994
SBIETFQLTY,103.5,101.01,2.4899979
SBILIFE,1012.15,988,24.150024
SBIN,319.7,315.55,4.1500244
SBIN,11202.1,11182,20.09961
SBIN,11498,11340,158.0
SBIN,11116,11116,0.0
SCAPDVR,0.25,0.2,0.049999997
SCHAEFFLER,4724,4584.05,139.9502
SCHAND,92.5,89.2,3.300003
SCHNEIDER,86.7,82.5,4.199997
SCI,62.7,60.45,2.25
SDBL,110,107.15,2.8499985
SEAMECLTD,473.95,455,18.950012
SECURCRED,29.1,29.1,0.0
SELAN,150,145.2,4.800003
SELMCL,0.85,0.75,0.100000024
SEPOWER,2.4,2,0.4000001
SEQUENT,86.25,82.9,3.3499985
SERVOTECH,8.2,7.7,0.5
SESHAPAPER,173.95,166,7.949997
SETCO,14.7,14.2,0.5
SETF10GILT,187.71,183,4.7100067
SETFGOLD,3650,3620,30.0
SETFNIF50,125.51,124.65,0.8600006
SETFNIFBK,316,312.19,3.8099976
SETFNN50,299.95,297.75,2.2000122
SETUINFRA,0.9,0.8,0.099999964
SEYAIND,109,103.55,5.449997
SEZAL,1.55,1.55,0.0
SFL,1499,1452,47.0
SGBAUG24,3849.8,3807,42.80005
SGBAUG27,3805,3790,15.0
SGBDC27VII,3899,3800,99.0
SGBFEB24,3840,3781,59.0
SGBJ28VIII,4019,3900,119.0
SGBJAN26,3700,3700,0.0
SGBJUL25,3774,3735,39.0
SGBMAR24,3825,3775,50.0
SGBMAR25,3798,3780,18.0
SGBMAY25,3772.5,3757,15.5
SGBMAY26,3789.99,3789.99,0.0
SGBNOV23,3861,3820,41.0
SGBNOV24,3800,3775,25.0
SGBNOV25,3774.99,3600,174.98999
SGBNOV25VI,3720,3720,0.0
SGBNOV26,3802,3800,2.0
SGBOCT25,3815,3787.67,27.330078
SGBOCT25IV,3820,3810,10.0
SGBOCT26,3800,3800,0.0
SGBOCT27,3999,3760,239.0
SGBOCT27VI,3845,3611,234.0
SGBSEP24,3820,3801,19.0
SGBSEP27,3851,3850,1.0
SGL,7.3,6.85,0.4500003
SHAHALLOYS,9.7,9.2,0.5
SHAKTIPUMP,258.4,249.3,9.099991
SHALBY,120.8,101.3,19.5
SHALPAINTS,103.9,96,7.9000015
SHANKARA,401.8,390,11.799988
SHANTIGEAR,100.85,98.4,2.449997
SHARDACROP,254.95,235,19.949997
SHARDAMOTR,1021.35,1004.45,16.899963
SHARIABEES,264.42,263.88,0.54000854
SHEMAROO,168.8,162.85,5.949997
SHIL,166,156.7,9.300003
SHILPAMED,277.45,260,17.450012
SHIRPUR-G,18.15,16.45,1.6999989
SHIVAMAUTO,26,25.05,0.95000076
SHIVAMILLS,36.3,35,1.2999992
SHIVATEX,96,91.1,4.9000015
SHK,115.5,111.6,3.9000015
SHOPERSTOP,427.9,414.95,12.949982
SHREDIGCEM,30.5,29,1.5
SHREECEM,23780,23206.1,573.9004
SHREEPUSHK,115.95,108,7.949997
SHREERAMA,5.45,5.05,0.39999962
SHRENIK,40,37.2,2.7999992
SHREYANIND,118.9,116.1,2.800003
SHREYAS,91,84.2,6.800003
SHRIPISTON,704,691,13.0
SHRIRAMCIT,1398.95,1360,38.94995
SHRIRAMEPC,4.7,4.45,0.25
SHUBHLAXMI,43,40.85,2.1500015
SHYAMCENT,3.55,3.35,0.20000005
SHYAMTEL,8.05,8.05,0.0
SICAGEN,18,17.15,0.8500004
SICAL,12.4,11.35,1.0499992
SIEMENS,1539.4,1490.3,49.099976
SIGIND,21.6,21.15,0.45000076
SIL,12.6,11.9,0.70000076
SILINV,163.15,159,4.149994
SIMBHALS,8.25,7.9,0.3499999
SIMPLEXINF,40.75,40.75,0.0
SINTERCOM,81,80.7,0.30000305
SINTEX,0.85,0.8,0.050000012
SIRCA,281.4,270,11.399994
SIS,548.4,525,23.400024
SITINET,1.55,1.5,0.049999952
SIYSIL,230.9,224,6.899994
SJVN,26.2,25.75,0.45000076
SKFINDIA,2196,2140,56.0
SKIL,4.95,4.65,0.2999997
SKIPPER,46.15,45,1.1500015
SKMEGGPROD,35.7,34.5,1.2000008
SMARTLINK,84.95,83.55,1.3999939
SMLISUZU,587.95,566.15,21.799988
SMPL,0.15,0.1,0.050000004
SMSLIFE,274,268,6.0
SMSPHARMA,45.95,43.6,2.3500023
SMVD,8.55,8.55,0.0
SNOWMAN,43.2,42.85,0.3500023
SOBHA,443.4,438.15,5.25
SOFTTECH,61.9,61.85,0.05000305
SOLARA,454,430.3,23.700012
SOLARINDS,1280,1217.55,62.44995
SOMANYCERA,215.9,209.45,6.449997
SOMATEX,3.35,3.2,0.14999986
SOMICONVEY,15.9,14.8,1.0999994
SONAHISONA,15.9,14,1.8999996
SONAMCLOCK,37.8,37.8,0.0
SONATSOFTW,354,346.1,7.899994
SORILINFRA,127.45,117.9,9.549995
SOTL,892,877.65,14.349976
SOUTHBANK,11.05,10.85,0.19999981
SOUTHWEST,19.5,18.9,0.6000004
SPAL,218.2,213.95,4.25
SPANDANA,1130,1005,125.0
SPARC,204.4,196.4,8.0
SPECIALITY,66.4,63.25,3.1500015
SPENCERS,93.8,90.1,3.7000046
SPENTEX,0.35,0.3,0.049999982
SPIC,22.55,21.9,0.6499996
SPICEJET,100.75,98.7,2.050003
SPLIL,34.4,32.85,1.550003
SPMLINFRA,12.8,12.1,0.6999998
SPTL,1.15,1.05,0.100000024
SPYL,0.3,0.25,0.050000012
SREEL,183,176.55,6.449997
SREIBNPNCD,861,861,0.0
SREIBNPNCD,830,830,0.0
SREIBNPNCD,786.8,786.8,0.0
SREIBNPNCD,857.25,857.25,0.0
SREINFRA,10.5,10.1,0.39999962
SREINFRA,990,990,0.0
SREINFRA,905,865,40.0
SREINFRA,960,958.99,1.0100098
SRF,3803.85,3751,52.850098
SRHHYPOLTD,124,118.8,5.199997
SRIPIPES,202,187.5,14.5
SRTRANSFIN,1121,1084.8,36.19995
SRTRANSFIN,1119.6,1090,29.599976
SRTRANSFIN,1069.5,1065,4.5
SRTRANSFIN,1021.06,1020,1.0599976
SRTRANSFIN,999.95,987.25,12.700012
SRTRANSFIN,999.95,999.95,0.0
SRTRANSFIN,1034.9,1022,12.900024
SRTRANSFIN,1033.9,1030,3.9000244
SRTRANSFIN,1065,1035,30.0
SRTRANSFIN,1137.3,1137.3,0.0
SRTRANSFIN,1139.59,1139.05,0.539917
SRTRANSFIN,999.95,999.95,0.0
SRTRANSFIN,999.95,999.95,0.0
SRTRANSFIN,1015.8,986,29.799988
SRTRANSFIN,1019.6,998.39,21.20996
SRTRANSFIN,1020,1020,0.0
SRTRANSFIN,1112.75,1090,22.75
SRTRANSFIN,1111.95,1111.95,0.0
SRTRANSFIN,999.95,990,9.950012
SRTRANSFIN,999.95,983,16.950012
SRTRANSFIN,985,959.55,25.450012
SRTRANSFIN,990,987.99,2.0100098
SRTRANSFIN,1090,1062.75,27.25
SRTRANSFIN,1089.25,1089.25,0.0
SRTRANSFIN,999.95,999.95,0.0
SRTRANSFIN,999.95,999.95,0.0
SRTRANSFIN,999.95,999.95,0.0
SRTRANSFIN,1036.15,1035,1.1500244
SRTRANSFIN,1037,1037,0.0
SSINFRA,12.7,12.45,0.25
SSWL,776.15,751.3,24.850037
STAMPEDE,0.45,0.35,0.099999994
STAN,59.45,55.5,3.9500008
STAR,455.05,441.4,13.649994
STARCEMENT,90.3,88.1,2.2000046
STARPAPER,130,122.85,7.1500015
STCINDIA,48.75,46.65,2.0999985
STEELCITY,36.5,35.3,1.2000008
STEELXIND,27.7,25.65,2.0500011
STEL,70.85,68.2,2.6500015
STERTOOLS,228,219.95,8.050003
STINDIA,4.4,4,0.4000001
STRTECH,131.6,127.2,4.400009
SUBCAPCITY,8.4,8.4,0.0
SUBEX,6.4,6.25,0.1500001
SUBROS,272,255.6,16.399994
SUDARSCHEM,485,475.6,9.399994
SUJANAUNI,0.2,0.1,0.1
SUMEETINDS,1.85,1.8,0.05000007
SUMICHEM,221.2,211.15,10.050003
SUMIT,18.9,17.2,1.6999989
SUMMITSEC,440,418.05,21.950012
SUNCLAYLTD,2297.65,2230,67.6499
SUNDARAM,2,1.7,0.29999995
SUNDARMFIN,1669,1631.75,37.25
SUNDARMHLD,75,69.3,5.699997
SUNDRMBRAK,328.95,315,13.950012
SUNDRMFAST,524,511.1,12.899994
SUNFLAG,41.2,39.55,1.6500015
SUNPHARMA,456.75,449.45,7.299988
SUNTECK,404.9,395.25,9.649994
SUNTV,498,488,10.0
SUPERHOUSE,97.4,90,7.4000015
SUPERSPIN,3.7,3.55,0.1500001
SUPPETRO,189.9,186.4,3.5
SUPRAJIT,205,201.25,3.75
SUPREMEENG,28.5,23.6,4.8999996
SUPREMEIND,1364,1340.3,23.699951
SUPREMEINF,22.25,22.25,0.0
SURANASOL,9.1,8.5,0.6000004
SURANAT&P,4.55,4,0.5500002
SUREVIN,71.25,71.25,0.0
SURYALAXMI,21,20,1.0
SURYAROSNI,186.4,181.1,5.299988
SUTLEJTEX,35.5,34.1,1.4000015
SUVEN,21.2,21.2,0.0
SUZLON,2.5,2.4,0.099999905
SVLL,101.45,101.45,0.0
SWANENERGY,120,115,5.0
SWARAJENG,1300,1226,74.0
SWELECTES,152.9,144.05,8.849991
SWSOLAR,303.75,298,5.75
SYMPHONY,1284,1261.8,22.199951
SYNCOM,0.75,0.75,0.0
SYNDIBANK,26.75,25.65,1.1000004
SYNGENE,317.9,309.45,8.449982
TAINWALCHM,70.2,56.55,13.649998
TAJGVK,198,185,13.0
TAKE,100.6,98,2.5999985
TALBROAUTO,137.95,132.55,5.399994
TALWALKARS,3,2.85,0.1500001
TALWGYM,2.5,2.35,0.1500001
TANLA,80.3,75.95,4.350006
TARMAT,25.35,23.65,1.7000008
TASTYBITE,8569.95,8425,144.9502
TATACAPHSG,1003,1003,0.0
TATACAPHSG,1005,1005,0.0
TATACAPHSG,998.1,998,0.099975586
TATACAPHSG,1004.8,1004.8,0.0
TATACAPHSG,1000.28,1000.01,0.27001953
TATACHEM,771.15,751,20.150024
TATACOFFEE,107.8,102.6,5.2000046
TATACOMM,441.85,422.2,19.649994
TATAELXSI,961.9,925,36.900024
TATAGLOBAL,393.3,382.25,11.049988
TATAINVEST,893.95,875.1,18.850037
TATAMETALI,627,615,12.0
TATAMOTORS,188.9,178.55,10.349991
TATAMTRDVR,78,74.6,3.4000015
TATAPOWER,62,60.4,1.5999985
TATASTEEL,57.7,55.95,1.75
TATASTEEL,459.7,449.6,10.100006
TATASTLBSL,29.15,28.5,0.6499996
TATASTLLP,417.5,406.15,11.350006
TBZ,38.85,37.9,0.94999695
TCFSL,1030,1030,0.0
TCFSL,1038,1034.01,3.9899902
TCFSL,1047,1046,1.0
TCFSL,1162.05,1162.05,0.0
TCFSL,1039,1031,8.0
TCFSL,1046,1045,1.0
TCFSL,1050,1050,0.0
TCI,283.4,276.05,7.350006
TCIDEVELOP,360.45,350,10.450012
TCIEXP,863.85,838.95,24.899963
TCIFINANCE,8.4,8.05,0.34999943
TCNSBRANDS,615.95,592,23.950012
TCPLPACK,298,293.95,4.049988
TCS,2186.95,2150,36.94995
TDPOWERSYS,138.5,135.15,3.350006
TEAMLEASE,2607.2,2501,106.19995
TECHIN,2.7,2.7,0.0
TECHM,807.2,793.55,13.650024
TECHNOE,305,295.05,9.950012
TECHNOFAB,22.95,21.1,1.8500004
TEJASNET,86.65,82.15,4.5
TERASOFT,27.2,25.75,1.4500008
TEXINFRA,52.6,47,5.5999985
TEXMOPIPES,15.9,15.05,0.8499994
TEXRAIL,40.2,37.5,2.7000008
TFCILTD,74,69.5,4.5
TFL,4.85,4.45,0.4000001
TGBHOTELS,4.25,3.9,0.3499999
THANGAMAYL,378,363.3,14.700012
THEINVEST,125,116.05,8.949997
THEJO,500,500,0.0
THEMISMED,424,406.25,17.75
THERMAX,1078,1060.1,17.900024
THIRUSUGAR,3.9,3.9,0.0
THOMASCOOK,58,55.5,2.5
THOMASCOTT,4,4,0.0
THYROCARE,578,563,15.0
TI,18.55,16.9,1.6499996
TIDEWATER,4898,4750,148.0
TIIL,346.95,325.25,21.700012
TIINDIA,508.15,478.05,30.100006
TIJARIA,7.1,6.6,0.5
TIL,219.5,210.2,9.300003
TIMESGTY,35.7,29.3,6.4000015
TIMETECHNO,57.45,56,1.4500008
TIMKEN,1010.25,988.2,22.049988
TINPLATE,149.85,146.55,3.300003
TIPSINDLTD,115.9,106.05,9.849998
TIRUMALCHM,70.45,67.1,3.3499985
TIRUPATIFL,29.05,29.05,0.0
TITAN,1207.9,1181.6,26.300049
TMRVL,11.75,11.3,0.4499998
TNPETRO,41.9,40.05,1.8500023
TNPL,195.95,190.75,5.199997
TNTELE,1.05,1.05,0.0
TOKYOPLAST,77,74.15,2.8499985
TORNTPHARM,1956.3,1907,49.30005
TORNTPOWER,329,324.75,4.25
TOUCHWOOD,77.45,75,2.449997
TPLPLASTEH,141.65,131.35,10.299988
TRANSWIND,3.35,3.35,0.0
TREEHOUSE,5.7,5.45,0.25
TREJHARA,12.6,11.55,1.0500002
TRENT,600,578,22.0
TRF,120.4,116.25,4.1500015
TRIDENT,7.15,6.9,0.25
TRIGYN,49.3,47.15,2.1499977
TRIL,9.8,9.3,0.5
TRITURBINE,98.8,97.5,1.300003
TRIVENI,81.65,80,1.6500015
TTKHLTCARE,566,513,53.0
TTKPRESTIG,6061.45,5964.6,96.8501
TTL,46,44,2.0
TTML,2.5,2.35,0.1500001
TV18BRDCST,26.4,25.7,0.69999886
TVSELECT,112.4,106.15,6.25
TVSMOTOR,471.5,461.8,9.700012
TVSSRICHAK,1746.85,1701,45.849976
TVTODAY,252.05,247.95,4.100006
TVVISION,1.3,1.3,0.0
TWL,58.5,55.25,3.25
UBL,1297,1270,27.0
UCALFUEL,144.4,137.9,6.5
UCOBANK,15.95,15.75,0.19999981
UFLEX,219.95,214.25,5.699997
UFO,129.5,126.5,3.0
UGARSUGAR,15,14.5,0.5
UJAAS,5.2,5,0.19999981
UJJIVAN,379.4,369.4,10.0
UJJIVANSFB,55.75,54.8,0.95000076
ULTRACEMCO,4653.5,4559.5,94.0
UMANGDAIRY,48.25,46.85,1.4000015
UMESLTD,0.85,0.85,0.0
UNICHEMLAB,173.5,168.55,4.949997
UNIENTER,69.1,67.2,1.9000015
UNIINFO,29.85,28.8,1.0500011
UNIONBANK,51.95,51.2,0.75
UNIPLY,11.75,10.9,0.8500004
UNITECH,1.55,1.55,0.0
UNITEDBNK,9,8.9,0.10000038
UNITEDTEA,284.95,274.25,10.700012
UNITY,0.35,0.3,0.049999982
UNIVASTU,45.5,45.5,0.0
UNIVCABLES,181.7,173.3,8.399994
UPL,545.9,537.05,8.850037
URAVI,102.8,102.7,0.1000061
URJA,1.7,1.65,0.05000007
USHAMART,26.95,25.5,1.4500008
UTIFEFRGR4,10.05,10.05,0.0
UTINEXT50,297,291.95,5.049988
UTINIFTETF,1339.1,1284.21,54.890015
UTISENSETF,449.99,435.01,14.97998
UTISXN50,329,325.4,3.600006
UTTAMSTL,7.95,7.6,0.3499999
UTTAMSUGAR,118.3,112.2,6.100006
UVSL,0.1,0.05,0.05
V2RETAIL,111.2,103.25,7.949997
VADILALIND,864,847,17.0
VAIBHAVGBL,1008,982.5,25.5
VAISHALI,49.5,48,1.5
VAKRANGEE,53.5,50.25,3.25
VARDHACRLC,35.7,34.6,1.1000023
VARDMNPOLY,2.5,2.4,0.099999905
VARROC,491.7,481.05,10.650024
VASA,8.2,8.15,0.05000019
VASCONEQ,17.8,16.3,1.5
VASWANI,5.05,4.8,0.25
VBL,839.85,783.7,56.149963
VCL,23,20,3.0
VEDL,145.4,141.9,3.5
VENKEYS,1734,1701,33.0
VENUSREM,25.5,24.5,1.0
VERTOZ,85.35,85.35,0.0
VESUVIUS,1108.05,1084.65,23.400024
VETO,45.6,42.1,3.5
VGUARD,228.5,224.8,3.699997
VHL,1315,1296.05,18.949951
VICEROY,1.45,1.35,0.100000024
VIDEOIND,2.25,2.25,0.0
VIDHIING,69,67.05,1.949997
VIJIFIN,0.45,0.35,0.099999994
VIKASECO,2.65,2.55,0.10000014
VIKASMCORP,2.5,2.3,0.20000005
VIKASPROP,8.85,8.85,0.0
VIKASWSP,7.5,6.9,0.5999999
VIMALOIL,3.3,3.1,0.20000005
VIMTALABS,103.6,100.55,3.0499954
VINATIORGA,2324.9,2251,73.8999
VINDHYATEL,924.5,903,21.5
VINYLINDIA,67.75,64,3.75
VIPCLOTHNG,7.95,7.6,0.3499999
VIPIND,473,466.35,6.649994
VIPULLTD,25.7,24,1.7000008
VISAKAIND,284.95,280,4.950012
VISASTEEL,4.95,4.65,0.2999997
VISESHINFO,0.1,0.05,0.05
VISHAL,234,234,0.0
VISHNU,139.8,132.6,7.199997
VISHWARAJ,85.95,82.1,3.8499985
VIVIDHA,0.4,0.3,0.099999994
VIVIMEDLAB,13.4,12.8,0.5999994
VLSFINANCE,58.7,57,1.7000008
VMART,2025,1957,68.0
VOLTAMP,1316,1290.25,25.75
VOLTAS,718.4,704.6,13.800049
VRLLOG,289,280.3,8.700012
VSSL,80,72.55,7.449997
VSTIND,4579.85,4500,79.8501
VSTTILLERS,1358.9,1325.05,33.849976
VTL,1058.85,1021.8,37.049988
WABAG,224.3,214.45,9.850006
WABCOINDIA,6755.9,6643,112.8999
WALCHANNAG,71.1,68.6,2.5
WANBURY,20.45,19.6,0.8500004
WATERBASE,144.4,140.1,4.299988
WEBELSOLAR,31.1,29.05,2.0500011
WEIZFOREX,390,364,26.0
WEIZMANIND,28.85,26.55,2.3000011
WELCORP,179,174.1,4.899994
WELENT,83,80.3,2.699997
WELINV,190.05,185.2,4.850006
WELSPUNIND,47,45.05,1.9500008
WENDT,2700,2620.05,79.94995
WESTLIFE,444.9,433,11.899994
WHEELS,637.4,610,27.400024
WHIRLPOOL,2480.3,2413.15,67.15015
WILLAMAGOR,24.45,24.45,0.0
WINDMACHIN,25.05,23.1,1.9499989
WIPL,59,57,2.0
WIPRO,247.4,243.25,4.149994
WOCKPHARMA,355,340.25,14.75
WONDERLA,254.9,250,4.899994
WSI,1.5,1.5,0.0
WSTCSTPAPR,235.8,231.2,4.600006
XCHANGING,62,58.1,3.9000015
XELPMOC,75,63.35,11.650002
XPROINDIA,27.9,23,4.8999996
YESBANK,42.35,41,1.3499985
ZEEL,277.1,271.6,5.5
ZEEL,5.75,5.7,0.05000019
ZEELEARN,19.7,18.5,1.2000008
ZEEMEDIA,6.45,6,0.4499998
ZENITHBIR,0.45,0.45,0.0
ZENITHEXPO,45.25,43.1,2.1500015
ZENSARTECH,177.95,172,5.949997
ZENTEC,60.85,57,3.8499985
ZICOM,1.85,1.75,0.100000024
ZODIAC,20.5,20.5,0.0
ZODIACLOTH,189.1,176.6,12.5
ZODJRDMKJ,32.9,29.5,3.4000015
ZOTA,182.5,180,2.5
ZUARI,113.05,109.5,3.550003
ZUARIGLOB,57.5,56,1.5
ZYDUSWELL,1555,1515,40.0
